app_id,name,release_date,game_genre,tags,summary,platform,categories,price,num_positive_review,num_negative_review,review_score_description,total_reviews,positive_ratio,metacritic_score,recommendations,is_free
552300,Soldier Sortie :VR Agent 006,16/12/16,Action | Adventure | Gore | Strategy | Violent,Action | Adventure | Gore | Strategy | VR | Violent,"Soldier Sortie:VR Agent 006 is a shooting adventure game developed with HTC VIVE. The game will bring you exciting experience of VR technology. Breaking through the virtuality and reality, experience the intense gunfight and puzzle adventure in the virtual world.",windows,Family Sharing | Single-player | Steam Achievements | Tracked Controller Support | VR Only,14.99,7.0,6.0,Mixed,13.0,0.538461538,,,False
773640,Colony On Mars,04/01/18,Casual | Indie | Simulation | Strategy,Base Building | Casual | Indie | Simulation | Strategy,"You play as an astronaut in a colony on Mars and you need to upgrade your colony, build new constructions and collect resources",windows,Family Sharing | Single-player | Steam Achievements,1.69,11.0,36.0,Mostly Negative,47.0,0.234042553,,,False
383840,Nimbatus - The Space Drone Constructor,03/10/18,Action | Indie | Simulation,Action | Adventure | Automation | Building | Crafting | Exploration | Fighting | Logic | Physics | Programming | Puzzle | Robots | Sandbox | Sci-fi | Singleplayer | Space | Space Sim | Sports | Strategy | Survival,"Command the Nimbatus and craft drones out of hundreds of different parts. Survive unknown threats in a fully destructible, procedural universe, compete against other players in different arenas or enjoy complete creative freedom in the sandbox.",windows | mac | linux,Family Sharing | Remote Play Together | Single-player | Stats | Steam Achievements | Steam Cloud | Steam Leaderboards | Steam Trading Cards | Steam Workshop,15.49,1641.0,408.0,Very Positive,2049.0,0.800878477,,1659.0,False
956430,Steampunk Graveyard,26/10/18,Action | Casual | Indie,2D | 2D Platformer | Action | Action-Adventure | Cartoony | Casual | Controller | Dungeon Crawler | Female Protagonist | Horror | Perma Death | Platformer | Procedural Generation | Robots | Roguelite | Short | Side Scroller | Steampunk | Underground | Zombies,"The dead walk with a metallic clunk! Run, jump and shoot your way past mechanized zombies in an endless series of graveyards. It's up to you, Professor Selene Gasket, to put a stop to the menace and save the terrified villagers from the minions of Baron Richter von Sprocket.",windows | linux,Family Sharing | Full controller support | Single-player | Stats | Steam Achievements | Steam Cloud,1.99,2.0,5.0,7 user reviews,7.0,0.285714286,,,False
455190,Domain Defense VR,11/05/17,Casual | Indie | Strategy,Casual | Indie | Strategy | VR,Domain Defense VR is a stand alone game that has been built from the ground up for virtual reality. This tabletop style tower defense game will have you defending each unique level against waves of enemies and bosses with an arsenal of towers and special abilities.,windows,Family Sharing | Full controller support | Single-player | Stats | Steam Achievements | Steam Cloud | Tracked Controller Support | VR Supported,5.79,15.0,4.0,Mostly Positive,19.0,0.789473684,,,False
746020,Pit of Evil,26/10/18,Adventure | Indie | RPG,Action | Action RPG | Action-Adventure | Adventure | Cute | Emotional | Epic | Fantasy | Fast-Paced | Funny | Horror | Indie | JRPG | Mystery | Psychological Horror | Puzzle | RPG | RPGMaker | Story Rich | Turn-Based,"Barry and his friends Arlene and Nellie decide to visit the Pit of Evil, the place where they lost their friend Fynn. While spending the night in a tent, things take an unexpected turn. The group gets seperated, while Barry suffers the same fate as Fynn, falling into the Pit of Evil.",windows | mac | linux,Family Sharing | Full controller support | Single-player | Steam Achievements | Steam Cloud,7.99,5.0,8.0,Mostly Negative,13.0,0.384615385,,,False
917050,Find The Balance,28/09/18,Casual | Indie,Casual | Indie,"Stones, bones and bananas - whatever you can imagine. Place all the stuff to make a steady tower and have fun finding the balance in this exciting physics game. Think over, select and rotate elements, cut the line and drop objects gently.",windows | mac,Family Sharing | Full controller support | Multi-player | Remote Play Together | Shared/Split Screen | Single-player | Steam Achievements | Steam Cloud | Steam Leaderboards,3.99,2.0,0.0,2 user reviews,2.0,1.0,,,False
537540,The Last Journey,25/04/17,Adventure | Indie | Simulation,Adventure | Indie | Simulation,The Last Journey is an ultimate post-nuclear exploration game in which you travel the universe to find a new planet suitable for mankind to live on after the Earth was destroyed in a nuclear war.,windows | mac,Single-player,0.0,25.0,28.0,Mixed,53.0,0.471698113,,,True
904050,American University Life ~Welcome Week!~,01/08/18,Casual | Indie,Casual | Indie | Nudity | Sexual Content | Visual Novel,"Take the role of first year student Skye in his first week of college on a remote getaway. Meet his four other roommates as they learn to live together, set boundaries, and engage in their lifestyle.",windows | mac | linux,Family Sharing | Partial Controller Support | Single-player,3.99,10.0,4.0,Mostly Positive,14.0,0.714285714,,,False
653960,DinoBlaster,03/01/18,Action | Indie,Action | Indie,Sidestep extinction as a dino in this arcade dodge-'em-up. This deluxe release features cutting-edge Brontoscan vector graphics.,windows | mac,Co-op | Family Sharing | Multi-player | Partial Controller Support | Remote Play Together | Shared/Split Screen | Shared/Split Screen Co-op | Single-player,3.99,3.0,0.0,3 user reviews,3.0,1.0,,,False
428800,liteCam Game 5:  120 FPS Game Capture + Streamer,18/12/15,Audio Production | Education | Software Training | Video Production | Web Publishing,Audio Production | Education | Software Training | Video Production | Web Publishing,‘liteCam Game: 120 FPS Game Capture’ is a next-gen game recorder and Live Streaming software for Steam users. liteCam Game 5.0 has a minimal impact on game performance while recording at up to 120 FPS and Live Streaming directly to Twitch or Youtube!,windows,Captions available,14.99,39.0,53.0,Mixed,92.0,0.423913043,,,False
504280,The Cold War Era,09/09/16,Indie | Simulation | Strategy,2D | Alternate History | Cold War | Diplomacy | Economy | Education | Grand Strategy | Historical | Indie | Management | Military | Modern | Political | Political Sim | Real Time Tactics | Simulation | Singleplayer | Strategy | Tactical | War,The Cold War Era is strategy game based on the historical conflict between the USA and the USSR,windows,Family Sharing | Single-player | Steam Achievements,3.99,14.0,11.0,Mixed,25.0,0.56,,,False
647500,Near Death Experience,09/06/17,Gore | Indie | Violent,Gore | Horror | Indie | Psychological Horror | Survival Horror | Violent,Near Death Experience is a defensless horror game that puts you in the mind of a car crash victim that lost his memory and finds himself in a threatening and unknown area. The player has to solve riddles to try to regain his memory while running from dark forces.,windows,Family Sharing | Single-player,3.99,18.0,10.0,Mixed,28.0,0.642857143,,,False
265610,Epic Battle Fantasy 4,25/02/14,Adventure | RPG,2D | Action | Adventure | Anime | Casual | Cats | Comedy | Cute | Epic | Fantasy | Funny | Great Soundtrack | Indie | JRPG | Parody | RPG | Singleplayer | Strategy | Turn-Based | Turn-Based Combat,"A light-hearted turn-based RPG, heavily inspired by old 2D classics. You will battle through waves of cute enemies, grow your characters, explore a diverse world, solve puzzles, and of course, save the world. (Just updated to version 3!)",windows,Family Sharing | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards,8.99,2981.0,94.0,Overwhelmingly Positive,3075.0,0.969430894,,2571.0,False
501840,Don't Disturb,01/09/16,Indie,2D | Abstract | Adventure | Anime | Cartoony | Choices Matter | Dog | Emotional | Exploration | Hand-drawn | Linear | Multiple Endings | Philosophical | Point & Click | Puzzle | Side Scroller | Singleplayer | Story Rich | Stylized | Walking Simulator,"Single-player puzzle adventure with a beautiful, distinctive art style and a genuinely emotional story. As a lonely dog wandering the afterlife searching for his dead master, 'Don't Disturb' explores traditional Asian views on death and the underworld.",windows | mac | linux,Family Sharing | Single-player | Steam Trading Cards,2.69,579.0,106.0,Very Positive,685.0,0.845255474,,487.0,False
