app_id,name,release_date,game_genre,tags,summary,platform,categories,price,num_positive_review,num_negative_review,review_score_description,total_reviews,positive_ratio,metacritic_score,recommendations,is_free
979060,Bloons Adventure Time TD,16/01/19,Action | Strategy,Action | Adventure | Cartoon | Casual | Family Friendly | Free to Play | Funny | Multiplayer | Psychological Horror | Sexual Content | Singleplayer | Strategy | Tower Defense,Defend Ooo from the Bloon invasion in this epic tower defense crossover.,windows | mac,In-App Purchases | Single-player | Steam Achievements,0,3532,519,Very Positive,4051,0.871883486,,,TRUE
696170,SENRAN KAGURA Peach Beach Splash,07/03/18,Action,Action | Anime | Character Customization | Co-op | Cute | FPS | Female Protagonist | Funny | Hentai | Mature | Multiplayer | NSFW | Nudity | Sexual Content | Shooter | Singleplayer | Story Rich | Third Person | Third-Person Shooter | VR,"The buxom shinobi of SENRAN KAGURA are back, and they've traded their katanas for water guns in this Third-Person Splasher! Customize your team, lead them through battles across a sprawling single-player campaign, or go online and take on teams worldwide. Come on in; the water's great!",windows,Family Sharing | Full controller support | Multi-player | Online PvP | PvP | Single-player | Steam Achievements | Steam Cloud | Steam Leaderboards | Steam Trading Cards | VR Supported,24.99,3255,788,Very Positive,4043,0.805095226,,3663,FALSE
1520,DEFCON,29/09/06,Indie | Strategy,2D | Cold War | Difficult | Diplomacy | Immersive Sim | Management | Military | Multiplayer | Political Sim | RTS | Stealth | Strategy | Strategy RPG | Submarine | Tactical RPG | Top-Down | Tower Defense | War | Wargame | World War II,"Inspired by the 1983 cult classic film, Wargames, DEFCON superbly evokes the tension, paranoia and suspicion of the Cold War era, playing on the fascinating aspects of psychological gameplay that occur during strategic nuclear warfare.",windows | mac | linux,Co-op | Cross-Platform Multiplayer | Family Sharing | LAN Co-op | LAN PvP | Multi-player | Online Co-op | Online PvP | PvP | Single-player | Steam Achievements,7.19,3512,519,Very Positive,4031,0.871247829,84,3185,FALSE
568090,Tattletail,28/12/16,Action | Indie,1990's | Action | Adventure | Atmospheric | Cute | Dark | Difficult | Family Friendly | First-Person | Funny | Great Soundtrack | Horror | Indie | Memes | Robots | Singleplayer | Story Rich | Strategy | Survival | Survival Horror,"It’s Christmas 1998. The world’s most annoying toy just came out, and yours won’t stay in his box. Can you stop Tattletail from getting you in trouble before the bloodthirsty Mama Tattletail hunts you down? Story-driven first person horror. New DLC Included!",windows | mac,Family Sharing | Single-player | Steam Achievements | Steam Trading Cards,3.99,3798,227,Very Positive,4025,0.943602484,,3695,FALSE
266210,One Way Heroics,28/02/14,Indie | RPG,2D | Adventure | Anime | Cute | Dungeon Crawler | Fantasy | Indie | JRPG | Mystery Dungeon | Perma Death | Pixel Graphics | Procedural Generation | RPG | Retro | Roguelike | Roguelite | Side Scroller | Singleplayer | Traditional Roguelike | Turn-Based,"Across all dimensions, the only constant is Darkness! A procedurally generated RPG-roguelike journey across the multiverse! In One Way Heroics, you take on the role of an intrepid adventurer who must travel across the land and face the Demon Lord before a mysterious darkness engulfs everything.",windows,Family Sharing | Partial Controller Support | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards,2.29,3787,237,Very Positive,4024,0.94110338,,3390,FALSE
671440,Rise of Industry,09/02/18,Indie | Simulation | Strategy,Automation | Base Building | Building | Capitalism | City Builder | Economy | Farming | Indie | Isometric | Level Editor | Management | RTS | Resource Management | Sandbox | Simulation | Singleplayer | Strategy | Trading | Trains | Transportation,"Put your entrepreneurial skills to the test in the first title in the ROI series as you create &amp; optimise intricate production lines. As an early 20th-Century industrialist, grow your empire &amp; adapt to an ever-changing business landscape with unexpected events that could lead to boom…or bust.",windows | mac | linux,Family Sharing | Single-player | Steam Cloud,19.99,2960,1063,Mostly Positive,4023,0.735769326,,3004,FALSE
238260,Pinball Arcade,04/11/13,Free To Play | Simulation,1980s | Action | Arcade | Casual | Classic | Free to Play | Multiplayer | Pinball | Retro | Simulation | Singleplayer,"Pinball Arcade by FarSight Studios features exact recreations of the all-time greatest pinball tables from Stern Pinball® and Gottlieb® together in one game. Every flipper, bumper, sound effect, and display pixel has been painstakingly emulated in astonishing detail.",windows | mac,Multi-player | Partial Controller Support | Single-player | Steam Achievements | Steam Trading Cards,0,2952,1068,Mostly Positive,4020,0.734328358,,,TRUE
504210,SHENZHEN I/O,17/11/16,Indie | Simulation,2D | Automation | Building | Difficult | Education | Great Soundtrack | Hacking | Indie | Logic | Programming | Psychological Horror | Puzzle | Sandbox | Simulation | Singleplayer | Solitaire,BUILD CIRCUITS. WRITE CODE. RTFM.,windows | mac | linux,Family Sharing | Includes level editor | Single-player | Steam Achievements | Steam Cloud | Steam Leaderboards | Steam Workshop,10.99,3819,191,Overwhelmingly Positive,4010,0.952369077,,3297,FALSE
311240,Zero Escape: Zero Time Dilemma,29/06/16,Adventure,Adventure | Anime | Atmospheric | Choices Matter | Dark | Escape Room | Gore | Great Soundtrack | Horror | Mature | Multiple Endings | Mystery | Point & Click | Psychological Horror | Puzzle | Sci-fi | Singleplayer | Story Rich | Thriller | Visual Novel,"Nine participants awaken, trapped in an underground facility. To escape, they must play a game with deadly consequences. Who will live, and who will die? The choice is yours. Let the Decision Game begin…",windows,Family Sharing | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards,15.49,3368,641,Very Positive,4009,0.840109753,78,3787,FALSE
878380,东方大战争 ~ Touhou Big Big Battle,10/09/18,Action | Adventure | Casual | Free To Play | Indie | Massively Multiplayer | RPG | Simulation | Strategy,Action | Adventure | Anime | Bullet Hell | Casual | Early Access | Faith | Female Protagonist | Free to Play | Indie | MOBA | Massively Multiplayer | Online Co-Op | PvE | PvP | RPG | RTS | Simulation | Strategy | Tower Defense,just a touhou rts game,windows | mac,Co-op | In-App Purchases | MMO | Multi-player | Online Co-op | Online PvP | PvP | Single-player,4.79,3222,784,Very Positive,4006,0.80429356,,1169,FALSE
286000,Tooth and Tail,12/09/17,Action | Casual | Indie | Strategy,2D | 4 Player Local | Action | Casual | Co-op | Competitive | Controller | Great Soundtrack | Indie | Isometric | Local Co-Op | Local Multiplayer | Multiplayer | Pixel Graphics | Procedural Generation | RTS | Singleplayer | Split Screen | Story Rich | Strategy,"Lead the revolution with an army of flamethrowing Boars, mustard gas-lobbing Skunks, and paratrooper-puking Owls. Tooth and Tail is a Real-Time-Strategy game featuring Single Player, Online Competitive Play, Split Screen, Replays, and more. Build a base, lead your army, eat your enemies!",windows | mac | linux,Family Sharing | Full controller support | Includes level editor | Multi-player | Online PvP | PvP | Remote Play Together | Remote Play on TV | Shared/Split Screen | Shared/Split Screen PvP | Single-player | Steam Achievements | Steam Leaderboards | Steam Trading Cards | Steam Workshop,14.99,3204,800,Very Positive,4004,0.8001998,80,2804,FALSE
296490,GemCraft - Chasing Shadows,30/04/15,Action | Indie | Strategy,2D | Action | Classic | Dark Fantasy | Difficult | Fantasy | Great Soundtrack | Indie | Puzzle | Singleplayer | Strategy | Tactical | Top-Down | Tower Defense,"An epic, challenging tower defense game with an emphasis on strategy and replayability. Summon gems of immense magical potency and harness their unique abilities against a seemingly endless horde of monsters. The archdemon seeks to swallow the world, and you must journey to stand against her.",windows,Family Sharing | Full controller support | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards,6.99,3812,184,Overwhelmingly Positive,3996,0.953953954,,3323,FALSE
33100,Alien Shooter,27/05/09,Action | Indie | RPG,Action | Action RPG | Aliens | Arcade | Arena Shooter | Atmospheric | Beat 'em up | Blood | Gore | Horror | Indie | Isometric | Looter Shooter | RPG | Roguelike | Sci-fi | Shooter | Singleplayer | Top-Down | Top-Down Shooter,"The endless darkness and the somber, long passages of a military complex have become the abode of evil, thousands of blood-thirsty creatures fill its offices, storehouses and mysterious laboratories. About 1,000 monsters on each map, showing up to 100 monsters simultaneously on one playing screen.",windows,Family Sharing | Partial Controller Support | Single-player | Steam Achievements | Steam Cloud | Steam Leaderboards | Steam Trading Cards,3.99,3800,192,Overwhelmingly Positive,3992,0.951903808,,3220,FALSE
29800,Caster,19/03/09,Action | Adventure | Casual | Indie | RPG | Strategy,Action | Adventure | Atmospheric | Casual | Fast-Paced | Female Protagonist | Great Soundtrack | Indie | RPG | Shooter | Singleplayer | Strategy | Third Person | Third-Person Shooter,Dash across Scenic Locations destroying bug like creatures called the Flanx using 6 Unique Attacks that include Massive Terrain Deformation and High Speed Barrages of Energy Blasts!,windows | mac,Family Sharing | Partial Controller Support | Single-player | Steam Trading Cards,0.99,3168,819,Mostly Positive,3987,0.794582393,,3360,FALSE
1002560,Tiny Snow,27/02/19,Adventure | Casual | Indie,Adventure | Anime | Casual | Cute | Drama | Indie | Multiple Endings | Psychological Horror | Romance | Sexual Content | Violent | Visual Novel,"On the snowy mountain, in the wooden hut, we are tied together by the world. She and &quot;I&quot; can only love each other, we cannot be separated. Is this free affection, or manipulated love? A short visual novel with multiple endings, &quot;Tiny Snow&quot;, a story with two girls, and you who know what love is.",windows,Family Sharing | Single-player | Steam Achievements | Steam Cloud,2.89,3778,206,Very Positive,3984,0.948293173,,3683,FALSE
12320,Sacred Gold,09/07/08,Action | RPG,Action | Action RPG | Adventure | Atmospheric | Classic | Co-op | Dark Fantasy | Dwarf | Exploration | Fantasy | Female Protagonist | Hack and Slash | Isometric | Loot | Multiplayer | Nostalgia | Open World | RPG | Singleplayer | Story Rich,A shadow of evil has fallen on the kingdom of Ancaria. It is a time for champions - a time to journey into the perilous world of SACRED. Battle blood-thirsty orcs &amp; lumbering ogres... Destroy undead wizards &amp; rotting mummies... Slay hellish demons &amp; legendary dragons.,windows,Family Sharing | Single-player,6.99,3379,600,Very Positive,3979,0.849208344,74,3473,FALSE
568770,Cinderella Phenomenon - Otome/Visual Novel,05/04/17,Free To Play | Indie | Simulation,Adventure | Anime | Casual | Choices Matter | Cute | Dating Sim | Fantasy | Female Protagonist | Free to Play | Great Soundtrack | Indie | Multiple Endings | Otome | Replay Value | Romance | Sexual Content | Simulation | Singleplayer | Story Rich | Visual Novel,The Fairytale Curse was only the beginning...,windows | mac | linux,Single-player | Steam Achievements,0,3839,139,Overwhelmingly Positive,3978,0.965057818,,,TRUE
409590,KINGDOMS,23/10/15,Action | Adventure | Early Access | Indie | RPG | Simulation,Action | Adventure | Atmospheric | Building | Crafting | Early Access | First-Person | Historical | Hunting | Indie | Management | Medieval | Military | Open World | RPG | Sandbox | Simulation | Singleplayer | Strategy | Survival,"KINGDOMS is a procedural medieval RPG in a randomly generated open world. The main feature of KINGDOMS is a smart AI system that completely controls NPC behavior. As the player, you can fully interact with this massive world and become any person you want to be.",windows,Family Sharing | Single-player,6.99,2967,1010,Mostly Positive,3977,0.746039728,,3888,FALSE
