app_id,name,release_date,game_genre,tags,summary,platform,categories,price,num_positive_review,num_negative_review,review_score_description,total_reviews,positive_ratio,metacritic_score,recommendations,is_free
245280,ENSLAVED™: Odyssey to the West™ Premium Edition,24/10/13,Action | Adventure,3D Platformer | 3D Vision | Action | Action-Adventure | Adventure | Atmospheric | Cinematic | Controller | Female Protagonist | Great Soundtrack | Hack and Slash | Linear | Parkour | Platformer | Post-apocalyptic | Robots | Sci-fi | Singleplayer | Story Rich | Third Person,"Follow a gripping, surprise-filled journey as two dissimilar characters form an uneasy partnership in order to survive through a perilous, post-apocalyptic America. 150 years in the future, war and destruction have left the world in ruins with few humans remaining and nature having reclaimed the world.",windows,Family Sharing | Full controller support | Single-player | Steam Achievements | Steam Cloud,14.99,6238,1033,Very Positive,7271,0.857928758,70,5087,FALSE
245300,Disney Epic Mickey 2:  The Power of Two,06/10/14,Action | Adventure,3D Platformer | Action | Adventure | Cartoon | Cartoony | Choices Matter | Classic | Co-op | Comedy | Cute | Dark | Family Friendly | Great Soundtrack | Horror | Local Co-Op | Open World | Platformer | Puzzle | Singleplayer | Souls-like,Unleash the power of the brush in an all new co-op adventure. Join Mickey and Oswald in an epic battle to save the magical world of Wasteland and change it forever. Interact with your favorite characters like never before in the most heroic adventure yet.,windows,Family Sharing | Partial Controller Support | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards,15.49,843,239,Mostly Positive,1082,0.779112754,,793,FALSE
245370,Etherium,25/03/15,Strategy,4X | Action | Multiplayer | RTS | Sci-fi | Singleplayer | Space | Strategy,"Etherium is a real-time strategy game set in a science-fiction universe, where three factions battle it out for a mysterious and rare resource known as ‘Etherium’.",windows,Family Sharing | Multi-player | Online PvP | PvP | Single-player | Steam Achievements | Steam Cloud | Steam Leaderboards | Steam Trading Cards,7.49,345,592,Mostly Negative,937,0.368196371,62,454,FALSE
245410,Wizardry 6: Bane of the Cosmic Forge,10/09/13,Adventure | RPG,Adventure | CRPG | Classic | Dungeon Crawler | Fantasy | First-Person | Grid-Based Movement | Old School | Party-Based RPG | RPG | Retro | Singleplayer | Turn-Based | Turn-Based Combat,"FULL-COLOR ANIMATED graphics DIGITIZED sound (NO add-on cards required)HARD DISK supported11 Races, 14 Professions (with rankings!)Weaponry, Physical and Academia SkillsSix Spellbooks, 462 CombinationsNon-Player CharactersAn arsenal of over 400 researched itemsVaried Fighting ModesPrimary and Secondary AttackContinuous JourneyUnlimited...",windows | mac | linux,Family Sharing | Single-player,0,190,58,Mostly Positive,248,0.766129032,,178,TRUE
245430,Wizardry 7: Crusaders of the Dark Savant,10/09/13,Adventure | RPG,Adventure | CRPG | Classic | Dungeon Crawler | Fantasy | First-Person | Grid-Based Movement | Old School | Party-Based RPG | RPG | Singleplayer | Turn-Based | Turn-Based Combat,For the First TimeOutdoor CampaignsFull Soundtrack and EffectsTrue Point &amp; Click Mouse InterfaceAuto-MappingUnprecedented Depth of StoryBegin your adventure in Crusaders of the Dark Savant. Import your characters from Bane of the Cosmic Forge or create a new party capable of surviving the rigors of a strange alien world.,windows | mac | linux,Family Sharing | Single-player,0,191,46,Very Positive,237,0.805907173,,198,TRUE
245450,Wizardry 8,10/09/13,Adventure | RPG,Adventure | Atmospheric | CRPG | Character Customization | Classic | Difficult | Dungeon Crawler | Exploration | Fantasy | First-Person | Grid-Based Movement | Old School | Open World | Party-Based RPG | RPG | Sci-fi | Singleplayer | Turn-Based | Turn-Based Combat,"A New Wizardry for a New GenerationThe universe is in the throes of violent upheaval and change. Vast and mysterious forces are preparing for the final confrontation. A small group of heroes from distant lands must plunge into the heart of the maelstrom, to uncover long-forgotten secrets, and bring about a new era.",windows | mac,Family Sharing | Single-player | Steam Cloud,6.99,954,107,Very Positive,1061,0.899151744,85,921,FALSE
245470,Democracy 3,14/10/13,Indie | Simulation | Strategy,2D | Capitalism | Casual | Difficult | Economy | Education | Funny | Indie | Management | Moddable | Political | Political Sim | Politics | Sandbox | Sequel | Simulation | Singleplayer | Strategy | Turn-Based | Turn-Based Strategy,"Have you ever wanted to be president? or prime-minister? Convinced you could do a better job of running the country? Let's face it, you could hardly do a worse job than our current political leaders.",windows | mac | linux,Family Sharing | Single-player | Steam Achievements | Steam Leaderboards | Steam Trading Cards | Steam Workshop,18.99,5373,1855,Mostly Positive,7228,0.743359159,70,6223,FALSE
245490,Trials Fusion™,24/04/14,Racing,2.5D | 2D | Action | Adventure | Arcade | Casual | Competitive | Difficult | Funny | Futuristic | Great Soundtrack | Level Editor | Local Multiplayer | Multiplayer | Physics | Platformer | Racing | Simulation | Singleplayer | Sports,"Trials Fusion is the gold-standard platform racer for the next-generation of gaming. Built upon the Trials franchise’s proven gameplay foundations, Fusion challenges players endlessly in both classic and all-new ways.",windows,Family Sharing | In-App Purchases | Multi-player | Partial Controller Support | Single-player,16.99,1537,733,Mixed,2270,0.677092511,80,2073,FALSE
245620,Tropico 5,23/05/14,RPG | Simulation | Strategy,Adventure | Atmospheric | City Builder | Co-op | Comedy | Economy | Funny | Great Soundtrack | Historical | Management | Multiplayer | Open World | Politics | RPG | RTS | Resource Management | Sandbox | Simulation | Singleplayer | Strategy,"Return to the remote island nation of Tropico and expand your Dynasty’s reign from the early colonial period to beyond the 21st Century, facing new challenges including advanced trading mechanics, technology and scientific research, as well as cooperative and competitive MULTIPLAYER.",windows | mac | linux,Co-op | Cross-Platform Multiplayer | Family Sharing | Includes level editor | Multi-player | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards | Steam Workshop,14.99,10947,3000,Mostly Positive,13947,0.784899978,75,9514,FALSE
246070,Hack 'n' Slash,09/09/14,Adventure | Casual | Indie,2D | Action | Action RPG | Adventure | Casual | Fantasy | Female Protagonist | Hack and Slash | Hacking | Indie | Programming | Puzzle | RPG | Singleplayer,"Hack ‘n’ Slash is a puzzle action game about hacking -- reprogram object properties, hijack global variables, hack creature behavior, and even rewrite the game’s code. The only way to win is not to play...by the rules!",windows | mac | linux,Family Sharing | Full controller support | Single-player | Steam Workshop,9.99,474,420,Mixed,894,0.530201342,73,517,FALSE
